#/////////////////////////////////////,,,,,,,,,,
# -----START OF METADATA -----,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,
# TITLE: Bumble Bee Disease Seasonal Variation Dataset,,,,,,,,,,
# DATE: August 2016,,,,,,,,,,
# AUTHOR: P. Alexander Burnham,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,
# AUTHOR EMAIL: pburnham@uvm.edu,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,
# OWNERSHIP: P. Alexander Burnham,,,,,,,,,,
# COLLABORATORS: Samantha Alger Alison Brody and Nicholas Gotelli,,,,,,,,,,
# FUNDING SOURCES: NAPPC,,,,,,,,,,
# REPOSITORY: xxxxxxxxx,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,
# We collected samples to assay viruses (DWV and BQCV) and Nosema from around 300 bumblebees of various species from 5 sites at 4 different time points,,,,,,,,,,
# SAMPLING LOCATIONS: Northern Vermont ,,,,,,,,,,
# SAMPLING TIMES: May-September 2016,,,,,,,,,,
# VARIABLE DESCRIPTION: One line for each column in the data set stating what it is and what the units of measurement are,,,,,,,,,,
# id: Sample lab ID (one number to a sample),,,,,,,,,,
# target_name: Name of the disease (DWV = deformed wing virus; BQCV = black queen cell virus; Nosema = Nosema spp.),,,,,,,,,,
# pathogen_binary: Presence/absence for each disease (0 = absent; 1 = present),,,,,,,,,,
# sampling_date: Date sampple was collected,,,,,,,,,,
# site_code: Field site code (5 levels),,,,,,,,,,
# field_id: ID collected in the field and mapped to a lab ID when moleculary work was done,,,,,,,,,,
# bombus_spp: Species of bumblebee,,,,,,,,,,
# host_plant: Common name of plant bee was caught on. (flight means the bee was caught in flight and not on a plant),,,,,,,,,,
# bee_caste: Caste of the bee specimen (Male Worker and Queen),,,,,,,,,,
# sampling_event: Four sameling events from may to september (1 2 3 and 4),,,,,,,,,,
# pathogen_load: Pathogen load (genome copies per/bee for viruses and spores per/bee for Nosema) Values have been shuffled for the purposes of class use.,,,,,,,,,,
#,,,,,,,,,,
# MISSING DATA: NA,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,
# DATA TRACK CHANGES LOG (use this section to record any changes to the data set after it is created),,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,
# ----- END OF METADATA -----,,,,,,,,,,
#/////////////////////////////////////,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
# ----- START OF DATA -----,,,,,,,,,,
#,,,,,,,,,,
id,target_name,pathogen_binary,sampling_date,site_code,field_id,bombus_spp,host_plant,bee_caste,sampling_event,pathogen_load
1,BQCV,1,9/9/2020,BOST,6,impatiens,solidago,worker,4,2414168.805
3,BQCV,1,9/10/2020,MUDGE,18,impatiens,crown vetch,worker,4,760793.2324
4,BQCV,0,9/10/2020,MUDGE,11,impatiens,crown vetch,worker,4,0
5,BQCV,0,9/9/2020,BOST,11,impatiens,solidago,male,4,0
6,BQCV,1,9/10/2020,CIND,14,impatiens,knot weed,worker,4,124236.7921
8,BQCV,1,9/10/2020,MUDGE,4,impatiens,crown vetch,worker,4,413814.5638
10,BQCV,1,9/10/2020,CIND,13,impatiens,red clover,worker,4,1028831.605
11,BQCV,1,7/7/2020,BOST,38,impatiens,red clover,worker,2,307696378.8
12,BQCV,0,9/10/2020,MUDGE,5,impatiens,crown vetch,worker,4,0
13,BQCV,1,9/9/2020,BOST,12,impatiens,solidago,male,4,311873.0526
15,BQCV,0,9/9/2020,BOST,18,impatiens,solidago,worker,4,0
16,BQCV,1,9/9/2020,BOST,23,impatiens,solidago,male,4,1674951.391
17,BQCV,1,9/10/2020,CIND,20,impatiens,red clover,worker,4,3214026.976
18,BQCV,1,9/10/2020,CIND,11,impatiens,birdsfoot,worker,4,995592.63
19,BQCV,0,9/10/2020,CIND,17,impatiens,red clover,worker,4,0
20,BQCV,1,9/10/2020,CIND,16,impatiens,red clover,worker,4,200804.8542
21,BQCV,1,9/9/2020,BOST,17,impatiens,solidago,worker,4,228085.8104
22,BQCV,1,9/9/2020,BOST,7,impatiens,solidago,worker,4,7261151.315
23,BQCV,1,7/7/2020,COL,22,impatiens,red clover,worker,2,817906.8276
24,BQCV,1,7/7/2020,BOST,45,impatiens,red clover,worker,2,858658.6884
25,BQCV,1,7/7/2020,BOST,46,impatiens,red clover,worker,2,1390213.258
26,BQCV,NA,9/10/2020,CIND,19,impatiens,knot weed,worker,4,NA
27,BQCV,1,9/9/2020,BOST,16,impatiens,solidago,worker,4,3847308.58
28,BQCV,1,9/9/2020,BOST,10,impatiens,solidago,male,4,21802654.79
29,BQCV,1,9/9/2020,BOST,20,impatiens,solidago,worker,4,4026207.454
30,BQCV,0,9/10/2020,MUDGE,16,impatiens,crown vetch,worker,4,0
31,BQCV,1,9/10/2020,MUDGE,2,impatiens,crown vetch,worker,4,3185000.456
32,BQCV,1,9/9/2020,BOST,19,impatiens,solidago,worker,4,3473347.836
33,BQCV,0,9/9/2020,BOST,5,impatiens,solidago,worker,4,0
34,BQCV,1,7/7/2020,BOST,21,bimaculatus ,red clover,worker,2,5094918.618
35,BQCV,1,9/10/2020,MUDGE,3,impatiens,crown vetch,worker,4,6633152.272
36,BQCV,1,9/10/2020,CIND,5,impatiens,red clover,worker,4,1234024.118
37,BQCV,1,9/9/2020,BOST,24,impatiens,solidago,male,4,7027623.46
38,BQCV,1,9/10/2020,MUDGE,15,impatiens,crown vetch,worker,4,1762561.063
39,BQCV,1,7/7/2020,BOST,44,impatiens,red clover,worker,2,10269604.05
40,BQCV,1,9/10/2020,MUDGE,9,impatiens,solidago,worker,4,65701945.97
41,BQCV,1,9/10/2020,MUDGE,8,impatiens,solidago,worker,4,37212133.71
42,BQCV,0,9/9/2020,BOST,29,vagans,solidago,male,4,0
43,BQCV,1,9/9/2020,BOST,27,impatiens,solidago,male,4,1624012.205
44,BQCV,1,9/10/2020,MUDGE,15,impatiens,crown vetch,worker,4,3783885.421
45,BQCV,1,9/10/2020,CIND,6,impatiens,red clover,worker,4,32725315.21
46,BQCV,1,9/10/2020,MUDGE,19,impatiens,crown vetch,worker,4,7269982.917
47,BQCV,NA,9/10/2020,MUDGE,10,impatiens,yellow flower need to ID,worker,4,NA
48,BQCV,0,9/9/2020,BOST,25,impatiens,solidago,male,4,0
49,BQCV,1,9/10/2020,MUDGE,6,impatiens,crown vetch,worker,4,3432824.36
50,BQCV,0,9/10/2020,MUDGE,14,impatiens,crown vetch,worker,4,0
51,BQCV,1,9/9/2020,BOST,28,impatiens,solidago,male,4,68403282513
52,BQCV,1,9/9/2020,BOST,3,impatiens,solidago,worker,4,357451.842
