"Habitat" "Site" "Station" "Tag" "Genus" "Species"
"1" "Field" "Audubon1" "2A" "142" "Zapus" "hudsonius"
"2" "Field" "Audubon1" "4A" "174" "Zapus" "hudsonius"
"3" "Field" "Audubon1" "30A" "226" "Microtus" "pennsylvanicus"
"4" "Field" "Audubon1" "30B" "227" "Microtus" "pennsylvanicus"
"5" "Field" "Audubon1" "25A" "228" "Zapus" "hudsonius"
"6" "Field" "Audubon1" "24B" "230" "Zapus" "hudsonius"
"7" "Field" "Audubon1" "21A" "230" "Zapus" "hudsonius"
"8" "Field" "Audubon1" "22A" "231" "Zapus" "hudsonius"
"9" "Field" "Audubon1" "25B" "232" "Zapus" "hudsonius"
"10" "Field" "Audubon1" "27A" "232" "Zapus" "hudsonius"
"11" "Field" "Audubon1" "25A" "233" "Microtus" "pennsylvanicus"
"12" "Field" "Audubon1" "24A" "234" "Zapus" "hudsonius"
"13" "Field" "Audubon1" "1A" "235" "Zapus" "hudsonius"
"14" "Field" "Audubon1" "22B" "235" "Zapus" "hudsonius"
"15" "Field" "Audubon1" "12A" "236" "Microtus" "pennsylvanicus"
"16" "Field" "Audubon1" "11B" "237" "Zapus" "hudsonius"
"17" "Field" "Audubon1" "15A" "237" "Zapus" "hudsonius"
"18" "Field" "Audubon1" "3A" "237" "Zapus" "hudsonius"
"19" "Field" "Audubon1" "9A" "238" "Zapus" "hudsonius"
"20" "Field" "Audubon1" "23A" "238" "Zapus" "hudsonius"
"21" "Field" "Audubon1" "2B" "239" "Zapus" "hudsonius"
"22" "Field" "Audubon1" "3A" "239" "Zapus" "hudsonius"
"23" "Field" "Audubon1" "6A" "239" "Zapus" "hudsonius"
"24" "Field" "Audubon1" "2B" "239" "Zapus" "hudsonius"
"25" "Field" "Audubon1" "29A" "240" "Zapus" "hudsonius"
"26" "Field" "Audubon1" "28A" "240" "Zapus" "hudsonius"
"27" "Field" "Audubon1" "25B" "241" "Microtus" "pennsylvanicus"
"28" "Field" "Audubon1" "16B" "243" "Zapus" "hudsonius"
"29" "Field" "Audubon1" "14A" "274" "Zapus" "hudsonius"
"30" "Field" "Audubon1" "21B" "275" "Microtus" "pennsylvanicus"
"31" "Field" "Audubon1" "4A" "383" "Microtus" "pennsylvanicus"
"32" "Field" "Audubon1" "4B" "384" "Zapus" "hudsonius"
"33" "Field" "Audubon1" "4A" "384" "Zapus" "hudsonius"
"34" "Field" "Audubon1" "5B" "385" "Zapus" "hudsonius"
"35" "Field" "Audubon1" "6A" "402" "Zapus" "hudsonius"
"36" "Field" "Audubon1" "12A" "403" "Microtus" "pennsylvanicus"
"37" "Field" "Audubon1" "21A" "405" "Microtus" "pennsylvanicus"
"38" "Field" "Audubon1" "28B" "406" "Peromyscus" "leucopus"
"39" "Field" "Audubon1" "29B" "407" "Peromyscus" "leucopus"
"40" "Field" "Audubon1" "29A" "408" "Peromyscus" "leucopus"
"41" "Field" "Audubon1" "15B" "409" "Microtus" "pennsylvanicus"
"42" "Field" "Audubon1" "26A" "413" "Microtus" "pennsylvanicus"
"43" "Field" "Audubon1" "24B" "414" "Microtus" "pennsylvanicus"
"44" "Field" "Audubon1" "23B" "415" "Zapus" "hudsonius"
"45" "Field" "Audubon1" "22A" "416" "Microtus" "pennsylvanicus"
"46" "Field" "Audubon1" "22A" "416" "Microtus" "pennsylvanicus"
"47" "Field" "Audubon1" "20A" "417" "Zapus" "hudsonius"
"48" "Field" "Audubon1" "12A" "418" "Zapus" "hudsonius"
"49" "Field" "Audubon1" "8B" "419" "Zapus" "hudsonius"
"50" "Field" "Audubon1" "6B" "420" "Zapus" "hudsonius"
"51" "Field" "Audubon1" "24A" "421" "Zapus" "hudsonius"
"52" "Field" "Audubon1" "29A" "421" "Zapus" "hudsonius"
"53" "Field" "Audubon1" "26B" "422" "Zapus" "hudsonius"
"54" "Field" "Audubon1" "17A" "423" "Zapus" "hudsonius"
