Site,Longitude(x),Latitude(y),BIO1_Annual_mean_temperature,BIO7_Temperature_annual_range,BIO12_Annual_precipitation,BIO17_Precipitation_of_driest_quarter,Albany_thicket,Coastal_belt,Desert,Forest,Fynbos,Nama_Karoo,Savanna,Succulent_Karoo,AB_Unmodified_largely_natural_river,C_Moderately_modified_river_condition,D_Largely_modified_river_condition,EF_Extremely_modified_river_condition,Z_River_condition_no_longer_intact,Human_population_density ,Sampling_effort 
1,29.38,-22.13,22.68,29.30,354.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,10379.95,15640.94,0.00,0.00,91.25,6.78,40.00
2,30.88,-22.13,23.44,24.67,487.50,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11337.11,7051.14,0.00,8594.42,0.00,0.22,54.00
3,29.13,-22.38,21.91,28.40,350.75,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,7447.36,7015.40,0.00,0.00,0.00,0.91,22.00
4,30.13,-22.38,22.83,27.15,448.00,9.75,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,94.19,16006.57,10359.21,0.00,0.00,1.10,71.00
5,30.38,-22.38,23.07,25.55,434.00,7.75,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,3375.25,0.00,18949.15,0.00,36.57,5.47,15.00
6,30.63,-22.38,23.12,25.13,466.75,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.00,5344.03,0.00,10315.35,0.00,5786.51,4.63,36.00
8,31.13,-22.38,24.08,25.55,446.75,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,118.13,22260.37,0.00,0.00,0.00,0.18,20.00
9,31.38,-22.38,24.04,25.25,473.75,10.75,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,2302.85,1155.50,0.00,20804.84,0.00,11.50,62.00
10,28.13,-22.63,21.90,29.15,353.25,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,16689.29,0.00,0.00,9570.15,0.00,0.01,19.00
11,28.38,-22.63,21.71,28.30,328.50,4.75,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,94.98,0.00,0.00,0.00,0.00,0.58,65.00
12,28.88,-22.63,21.55,27.32,344.50,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,17650.07,3687.72,936.63,0.00,0.00,0.77,66.00
13,29.13,-22.63,20.67,26.28,406.50,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,2489.45,0.00,0.00,0.00,0.00,0.40,24.00
15,30.13,-22.63,22.28,25.70,527.25,11.75,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,1244.91,5371.29,6209.91,0.00,1661.51,21.02,347.00
16,30.38,-22.63,22.10,24.30,640.25,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,3375.25,2733.02,6209.91,0.00,1330.34,4.28,105.00
17,30.88,-22.63,22.00,22.67,693.50,18.25,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,2584.60,8135.99,0.00,0.00,4483.83,0.00,38.00
18,31.13,-22.63,23.61,24.38,535.25,13.75,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,1379.81,8135.99,0.00,0.00,0.00,0.18,45.00
19,29.38,-22.88,20.60,27.00,432.25,9.50,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,8743.11,993.15,6338.85,0.00,0.00,1.65,39.00
20,29.63,-22.88,20.99,25.60,436.25,9.50,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,7844.15,1195.03,181.55,0.00,0.00,3.81,54.00
21,29.88,-22.88,20.53,24.08,591.75,16.50,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,2155.18,4273.14,0.00,1011.66,0.73,55.00
23,30.38,-22.88,18.23,20.13,1490.00,84.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,210.07,2733.02,695.69,0.00,1330.34,1.28,66.00
24,30.63,-22.88,21.84,25.80,700.50,20.50,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,10515.04,790.67,7101.88,0.00,2405.33,194.60,31.00
25,31.13,-22.88,22.95,26.95,509.50,13.75,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,8304.47,8135.99,0.00,0.00,0.00,0.02,38.00
26,31.38,-22.88,23.11,26.90,479.25,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.00,2766.99,9887.24,0.00,1842.95,0.00,0.02,17.00
28,28.13,-23.13,21.44,27.35,438.25,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,4573.18,0.00,0.00,0.00,0.00,1.00,27.00
31,29.38,-23.13,19.87,27.12,546.50,15.50,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,1310.34,6338.85,0.00,6043.26,11.84,143.00
32,29.63,-23.13,20.03,28.25,581.25,19.50,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,6249.30,791.26,181.55,0.00,0.00,1.15,25.00
33,29.88,-23.13,19.56,26.87,685.75,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,713.37,1006.49,0.00,1060.28,18.09,54.00
34,30.13,-23.13,20.22,25.95,813.50,33.75,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,3528.13,259.24,0.00,361.81,3.39,151.00
35,30.38,-23.13,21.37,25.97,806.75,29.75,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,6803.63,2718.57,0.00,0.00,63.32,31.00
36,31.38,-23.13,23.15,28.10,443.00,13.50,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,9013.11,11978.28,0.00,5569.08,0.00,0.10,55.00
38,27.13,-23.38,21.32,32.27,410.75,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.47,33551.20,0.00,7884.35,0.00,0.49,11.00
40,29.38,-23.38,19.30,27.40,580.50,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,1310.34,6789.64,0.00,4095.03,1.21,21.00
42,31.63,-23.38,23.09,23.28,460.25,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,5279.47,0.00,0.00,6907.19,0.00,3.23,11.00
43,27.13,-23.63,21.32,32.27,410.75,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.00,83.24,12254.26,0.00,0.00,0.00,0.49,16.00
