R.county,state,county,ecoregion,n.species,n.samples,lat.centroid,long.centroid,elev.centroid.m,area.km2,mean.ann.temp,mean.diurnal.temp.range,isothermality,temp.seasonality.sd,max.temp,min.temp,temp.range,mean.temp.wettest.Q,mean.temp.driest.Q,mean.temp.warmest.Q,mean.temp.coldest.Q,ann.precip,precip.wettest.month,precipldriest.month,precip.cv,precip.wettest.Q,precip.driest.Q,precip.warmest.Q,precip.coldest.Q
"connecticut,fairfield",connecticut,fairfield,new england coastal,15,53,41.270369,-73.388684,176.92,1621,9.6,10.8,0.3,86.88,27.4,-8,35.4,8.3,-1.9,20.5,-1.9,1250,117,88,8,338,290,304,290
"connecticut,hartford",connecticut,hartford,new england coastal,50,192,41.806038,-72.732707,42.76,1906,9.8,11.8,0.31,90.7,29.1,-8.6,37.7,14.4,-1.1,21.3,-2.3,1167,106,81,7,309,266,290,270
"connecticut,litchfield",connecticut,litchfield,northeast highlands,62,354,41.792071,-73.24551,376.85,2383,7.8,11.5,0.3,90.18,26.3,-10.8,37.1,12.4,-3.1,19,-4.3,1246,113,88,7,328,280,323,284
"connecticut,middlesex",connecticut,middlesex,new england coastal,36,106,41.463707,-72.536282,69.94,956,9.8,10.6,0.3,86.46,27.7,-7.5,35.2,5.7,20.7,20.7,-1.6,1239,118,91,7,331,292,292,302
"connecticut,new haven",connecticut,new haven,new england coastal,63,454,41.411331,-72.932093,140.57,1570,9.7,10.7,0.3,87.34,27.7,-7.6,35.3,8.3,-0.7,20.8,-1.8,1222,113,88,7,328,287,293,289
"connecticut,new london",connecticut,new london,new england coastal,42,284,41.489321,-72.100949,63.75,1725,9.8,11.1,0.31,84.95,27.6,-7.8,35.4,1.2,20.5,20.5,-1.4,1229,121,87,9,337,279,279,310
"connecticut,tolland",connecticut,tolland,new england coastal,59,975,41.854411,-72.337284,227.79,1062,8.3,11.6,0.31,88.35,26.8,-10.1,36.9,4.1,-2.4,19.4,-3.5,1233,116,87,7,326,284,306,289
"connecticut,windham",connecticut,windham,new england coastal,32,99,41.829702,-71.98752,105.35,1329,8.9,12.1,0.32,88.13,27.6,-9.8,37.4,4.6,-1.8,19.9,-2.9,1218,117,89,7,329,290,291,297
"maine,androscoggin",maine,androscoggin,acadian plains,10,16,44.164974,-70.205231,79.43,1287,7.1,11.3,0.28,96.23,26.7,-12.7,39.4,2.6,18.4,19.3,-5.7,1134,120,83,11,325,253,260,279
"maine,aroostook",maine,aroostook,acadian plains,31,109,46.655388,-68.599298,243.43,17687,3.2,12.5,0.28,107.02,24.6,-19.4,44,15.2,-9.9,16.4,-11.3,966,103,53,19,296,179,292,195
"maine,cumberland",maine,cumberland,new england coastal,36,88,43.844009,-70.39729,96.06,3152,7.1,11.5,0.29,93.89,26.3,-12.6,38.9,2.7,18.2,19,-5.4,1162,127,83,13,340,251,258,290
"maine,franklin",maine,franklin,northeast highlands,13,26,44.976585,-70.437447,770.43,4517,3,11.4,0.28,99.72,22.7,-17.7,40.4,15.4,-9.2,15.4,-10.4,1122,112,68,14,317,227,317,240
"maine,hancock",maine,hancock,acadian plains,66,658,44.669243,-68.355558,44.26,6089,6.5,11.2,0.29,93.41,25.7,-12.8,38.5,2.4,18.2,18.2,-6,1162,130,79,15,349,245,245,305
"maine,kennebec",maine,kennebec,acadian plains,47,231,44.408019,-69.76055,83.26,2463,7,11.8,0.29,97.08,27,-13.2,40.2,2.4,-4.8,19.1,-6,1088,113,73,11,308,244,263,250
"maine,knox",maine,knox,acadian plains,20,93,44.149138,-69.173047,49.65,2958,7.4,11.1,0.29,91.52,26.2,-11.5,37.7,3.3,18.9,18.9,-4.8,1181,131,80,15,355,249,249,297
"maine,lincoln",maine,lincoln,acadian plains,11,23,44.073973,-69.543312,48.33,1813,7.5,11,0.29,92.3,26.3,-11.5,37.8,3.3,19.1,19.1,-4.8,1145,124,79,13,336,249,249,284
